권역,6시~8시,8시~10시,10시~12시,12시~14시,14시~16시,16시~18시,18시~20시,20시~22시,22시~24시
강남구,1657397,1952650,1919091,1872299,1913234,1921616,1730796,1536898,1216785
강동구,791537,866010,803520,792307,817605,840572,752806,595572,393910
강북구,132147,150886,140799,139104,144670,149379,136297,109756,87017
강서구,952634,1037151,965158,952798,975315,1012932,923749,734486,555877
관악구,427600,469796,413331,401101,419220,457317,413676,321458,256027
광진구,734975,817255,791796,773640,807106,840598,752941,598130,434483
구로구,738015,818869,764001,741461,754247,785961,736070,597445,452056
금천구,598944,650343,600495,582410,599790,627098,579188,448591,330559
노원구,628086,694910,640333,629619,653704,684236,627972,513074,386143
도봉구,153136,187653,165669,164229,172046,183631,164983,122959,92741
동대문구,428121,493261,452557,439076,452711,476608,430232,344140,259904
동작구,556558,630889,591643,579218,596305,633419,555026,469232,372882
마포구,1264118,1384213,1313884,1329018,1330642,1325812,1178634,1081530,852788
서대문구,337715,374516,361590,362313,372387,387998,364275,312195,242756
서초구,1592630,1712058,1628108,1611106,1634375,1673205,1509308,1322737,1033324
성동구,744157,838939,836304,842591,867535,848288,748057,659318,514780
성북구,583355,621094,588186,576487,589289,591161,539477,477650,388770
송파구,1356518,1540984,1430271,1389717,1440996,1515946,1361724,1101532,800250
양천구,736215,846036,765583,743487,769619,800937,730577,578944,428001
영등포구,1897565,2159376,1996477,1964645,2024297,2114628,1900451,1579107,1253549
용산구,970990,1156901,1122475,1121195,1150982,1163916,1017601,858108,681639
은평구,242852,264082,241430,235797,243013,258861,234446,194842,146969
종로구,380344,461062,432302,426915,437797,463004,430844,348407,263697
중구,527839,665994,630444,637885,650312,671921,615244,488870,386914
중랑구,513285,556282,506643,494013,510720,543038,510485,409031,303880
