지역코드,구,6시~8시_비율,8시~10시_비율,10시~12시_비율,12시~14시_비율,14시~16시_비율,16시~18시_비율,18시~20시_비율,20시~22시_비율,22시~24시_비율,비율평균,비율최고,비율최저
1,종로구,7.491806,9.081744,8.515246,8.409136,8.623483,9.119997,8.486527,6.862728,5.194158,7.976092,9.119997,5.194158
2,중구,9.637023,12.159388,11.510334,11.646188,11.873074,12.2676,11.23282,8.925546,7.064084,10.701784,12.2676,7.064084
3,용산구,12.986358,15.472797,15.012371,14.995252,15.393634,15.566618,13.60975,11.476635,9.116477,13.736655,15.566618,9.116477
4,성동구,7.126848,8.034583,8.009347,8.069558,8.308449,8.124119,7.164199,6.314339,4.930087,7.342392,8.308449,4.930087
5,광진구,7.528399,8.371199,8.11042,7.924447,8.267242,8.610302,7.712426,6.126686,4.450439,7.455729,8.610302,4.450439
6,동대문구,4.171215,4.805879,4.409297,4.27795,4.410797,4.643628,4.191783,3.352982,2.532264,4.088422,4.805879,2.532264
7,중랑구,4.408604,4.777906,4.351556,4.243077,4.386574,4.664153,4.384555,3.513167,2.610025,4.148846,4.777906,2.610025
8,성북구,4.761887,5.069948,4.801322,4.705824,4.810326,4.825607,4.403714,3.899025,3.173503,4.494573,5.069948,3.173503
9,강북구,1.772619,2.023984,1.888677,1.865941,1.940603,2.003769,1.828287,1.472267,1.167246,1.77371,2.023984,1.167246
10,도봉구,1.609806,1.972658,1.741556,1.726418,1.808593,1.930377,1.734345,1.292577,0.974918,1.643472,1.972658,0.974918
11,노원구,4.118327,4.556488,4.19863,4.128378,4.286303,4.486499,4.117579,3.364199,2.531919,3.97648,4.556488,2.531919
12,은평구,1.796655,1.953717,1.786134,1.744461,1.797846,1.915091,1.734466,1.44147,1.087298,1.695237,1.953717,1.087298
13,서대문구,3.684914,4.086461,3.945422,3.95331,4.063231,4.233568,3.974718,3.406457,2.648787,3.77743,4.233568,2.648787
14,마포구,10.335445,11.317344,10.742333,10.866069,10.879347,10.839856,9.636527,8.842604,6.972406,10.047992,11.317344,6.972406
15,양천구,4.862426,5.587752,5.05639,4.910454,5.083047,5.28989,4.825189,3.823709,2.826787,4.696183,5.587752,2.826787
16,강서구,4.628459,5.039092,4.689308,4.629256,4.738656,4.921422,4.488118,3.568567,2.700779,4.378184,5.039092,2.700779
17,구로구,4.992728,5.539711,5.168525,5.01604,5.102538,5.317086,4.979569,4.041761,3.058193,4.801795,5.539711,3.058193
18,금천구,6.50044,7.058282,6.517273,6.320993,6.509621,6.806,6.286024,4.868633,3.587612,6.050542,7.058282,3.587612
19,영등포구,13.117141,14.926941,13.800882,13.58084,13.993191,14.617615,13.137091,10.915763,8.665305,12.972752,14.926941,8.665305
20,동작구,5.226093,5.924063,5.555542,5.438871,5.599318,5.94782,5.211707,4.4061,3.501371,5.201209,5.94782,3.501371
21,관악구,3.614448,3.971125,3.493834,3.390455,3.543613,3.865642,3.49675,2.717243,2.164163,3.361919,3.971125,2.164163
22,서초구,8.992677,9.667019,9.193001,9.097,9.228387,9.447638,8.522205,7.468744,5.834593,8.605696,9.667019,5.834593
23,강남구,6.528886,7.691959,7.559762,7.375437,7.53669,7.569709,6.818023,6.054212,4.79321,6.880876,7.691959,4.79321
24,송파구,5.552696,6.307779,5.854592,5.688591,5.898493,6.205289,5.574006,4.50895,3.275699,5.429566,6.307779,3.275699
25,강동구,5.139183,5.622711,5.216985,5.144183,5.308434,5.457551,4.887716,3.866848,2.557525,4.800126,5.622711,2.557525
